ダウンロードした時刻：2020/03/30 11:27:10

,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,辻堂,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,江戸川臨海,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,府中,府中,府中,府中,府中,府中,府中,府中,府中,府中,府中,府中,府中,府中,所沢,所沢,所沢,所沢,所沢,所沢,所沢,所沢,所沢,所沢,所沢,所沢,所沢,所沢,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,三島,三島,三島,三島,三島,三島,三島,三島,三島,三島,三島,三島,三島,三島,三島,茂原,茂原,茂原,茂原,茂原,茂原,茂原,茂原,茂原,茂原,茂原,茂原,茂原,茂原
年月日時,気温(℃),気温(℃),気温(℃),降水量(mm),降水量(mm),降水量(mm),相対湿度(％),相対湿度(％),相対湿度(％),風速(m/s),風速(m/s),風速(m/s),風速(m/s),風速(m/s),気温(℃),気温(℃),気温(℃),降水量(mm),降水量(mm),降水量(mm),相対湿度(％),相対湿度(％),相対湿度(％),風速(m/s),風速(m/s),風速(m/s),風速(m/s),風速(m/s),気温(℃),気温(℃),気温(℃),降水量(mm),降水量(mm),降水量(mm),降水量(mm),相対湿度(％),相対湿度(％),相対湿度(％),風速(m/s),風速(m/s),風速(m/s),風速(m/s),風速(m/s),気温(℃),気温(℃),気温(℃),降水量(mm),降水量(mm),降水量(mm),相対湿度(％),相対湿度(％),相対湿度(％),風速(m/s),風速(m/s),風速(m/s),風速(m/s),風速(m/s),気温(℃),気温(℃),気温(℃),降水量(mm),降水量(mm),降水量(mm),相対湿度(％),相対湿度(％),相対湿度(％),風速(m/s),風速(m/s),風速(m/s),風速(m/s),風速(m/s),気温(℃),気温(℃),気温(℃),降水量(mm),降水量(mm),降水量(mm),相対湿度(％),相対湿度(％),相対湿度(％),風速(m/s),風速(m/s),風速(m/s),風速(m/s),風速(m/s),気温(℃),気温(℃),気温(℃),降水量(mm),降水量(mm),降水量(mm),降水量(mm),相対湿度(％),相対湿度(％),相対湿度(％),風速(m/s),風速(m/s),風速(m/s),風速(m/s),風速(m/s),気温(℃),気温(℃),気温(℃),降水量(mm),降水量(mm),降水量(mm),降水量(mm),相対湿度(％),相対湿度(％),相対湿度(％),風速(m/s),風速(m/s),風速(m/s),風速(m/s),風速(m/s),気温(℃),気温(℃),気温(℃),降水量(mm),降水量(mm),降水量(mm),相対湿度(％),相対湿度(％),相対湿度(％),風速(m/s),風速(m/s),風速(m/s),風速(m/s),風速(m/s)
,,,,,,,,,,,,風向,風向,,,,,,,,,,,,,風向,風向,,,,,,,,,,,,,,風向,風向,,,,,,,,,,,,,風向,風向,,,,,,,,,,,,,風向,風向,,,,,,,,,,,,,風向,風向,,,,,,,,,,,,,,風向,風向,,,,,,,,,,,,,,風向,風向,,,,,,,,,,,,,風向,風向,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,,品質情報,均質番号
2015/6/30 1:00:00,21.0,8,1,0.0,8,1,,0,1,2.9,8,南南西,8,1,20.6,8,1,0.0,8,1,,0,1,4.6,8,南南東,8,1,20.5,8,1,0,1,8,1,79,8,1,4.0,8,南南東,8,1,20.1,8,1,0.0,8,1,,0,1,1.4,8,南,8,1,19.4,8,1,0.0,8,1,,0,1,2.6,8,南,8,1,19.4,8,1,0.0,8,1,,0,1,3.5,8,南,8,1,14.7,8,1,0,1,8,1,83,8,1,3.4,8,南東,8,1,20.2,8,1,0,1,8,1,77,8,1,0.3,8,南,8,1,18.1,8,1,0.0,8,1,,0,1,0.7,8,南南東,8,1
2015/6/30 2:00:00,21.0,8,1,0.0,8,1,,0,1,2.5,8,南西,8,1,20.3,8,1,0.0,8,1,,0,1,4.8,8,南,8,1,20.4,8,1,0,1,8,1,82,8,1,4.4,8,南,8,1,20.1,8,1,0.0,8,1,,0,1,1.3,8,南,8,1,19.1,8,1,0.0,8,1,,0,1,2.4,8,南,8,1,19.1,8,1,0.0,8,1,,0,1,3.6,8,南,8,1,15.1,8,1,0,1,8,1,81,8,1,5.8,8,南南東,8,1,19.5,8,1,0,1,8,1,83,8,1,2.0,8,南東,8,1,17.4,8,1,0.0,8,1,,0,1,0.0,8,静穏,8,1
2015/6/30 3:00:00,21.2,8,1,0.0,8,1,,0,1,2.5,8,南西,8,1,20.4,8,1,0.0,8,1,,0,1,3.3,8,南南東,8,1,20.4,8,1,0,1,8,1,83,8,1,3.6,8,南,8,1,20.1,8,1,0.0,8,1,,0,1,0.8,8,南,8,1,18.8,8,1,0.0,8,1,,0,1,1.6,8,南南東,8,1,19.4,8,1,0.0,8,1,,0,1,3.4,8,南,8,1,15.0,8,1,0,1,8,1,84,8,1,6.1,8,南南東,8,1,19.3,8,1,0,1,8,1,85,8,1,0.9,8,北東,8,1,17.6,8,1,0.0,8,1,,0,1,0.6,8,北北西,8,1
2015/6/30 4:00:00,21.1,8,1,0.0,8,1,,0,1,2.2,8,南西,8,1,20.7,8,1,0.0,8,1,,0,1,4.8,8,南南東,8,1,20.9,8,1,0,1,8,1,80,8,1,3.3,8,南,8,1,20.0,8,1,0.0,8,1,,0,1,0.4,8,南南東,8,1,19.3,8,1,0.0,8,1,,0,1,1.3,8,南,8,1,19.7,8,1,0.0,8,1,,0,1,3.0,8,南南西,8,1,14.7,8,1,0.0,0,8,1,87,8,1,4.8,8,南東,8,1,18.6,8,1,0,1,8,1,87,8,1,0.7,8,南東,8,1,16.9,8,1,0.0,8,1,,0,1,0.6,8,南南西,8,1
2015/6/30 5:00:00,20.6,8,1,0.0,8,1,,0,1,1.5,8,南,8,1,20.7,8,1,0.0,8,1,,0,1,3.6,8,南南東,8,1,20.9,8,1,0,1,8,1,80,8,1,3.2,8,南南東,8,1,20.4,8,1,0.0,8,1,,0,1,0.3,8,南南東,8,1,19.2,8,1,0.0,8,1,,0,1,1.0,8,東,8,1,18.9,8,1,0.0,8,1,,0,1,1.9,8,北北西,8,1,14.9,8,1,0.0,0,8,1,86,8,1,4.8,8,南東,8,1,17.8,8,1,0,1,8,1,91,8,1,1.0,8,南東,8,1,17.1,8,1,0.0,8,1,,0,1,0.7,8,北西,8,1
2015/6/30 6:00:00,21.2,8,1,0.0,8,1,,0,1,1.5,8,南,8,1,21.4,8,1,0.0,8,1,,0,1,3.4,8,南南東,8,1,21.3,8,1,0,1,8,1,81,8,1,2.8,8,南東,8,1,21.0,8,1,0.0,8,1,,0,1,0.4,8,南南西,8,1,19.9,8,1,0.0,8,1,,0,1,0.7,8,南南東,8,1,19.1,8,1,0.0,8,1,,0,1,1.9,8,北,8,1,15.3,8,1,0.0,0,8,1,85,8,1,6.4,8,南南東,8,1,18.7,8,1,0,1,8,1,88,8,1,1.3,8,南南東,8,1,18.3,8,1,0.0,8,1,,0,1,0.1,8,静穏,8,1
2015/6/30 7:00:00,22.3,8,1,0.0,8,1,,0,1,1.4,8,南南東,8,1,21.5,8,1,0.0,8,1,,0,1,4.8,8,南南東,8,1,21.3,8,1,0,1,8,1,81,8,1,4.0,8,南東,8,1,21.4,8,1,0.0,8,1,,0,1,1.0,8,南,8,1,20.5,8,1,0.0,8,1,,0,1,2.2,8,南,8,1,19.7,8,1,0.0,8,1,,0,1,0.8,8,北北東,8,1,15.4,8,1,0.5,0,8,1,84,8,1,9.0,8,南南東,8,1,20.2,8,1,0.0,0,8,1,79,8,1,0.8,8,南西,8,1,21.3,8,1,0.0,8,1,,0,1,0.8,8,東北東,8,1
